index_id,id,semantic,label,semantic_id
12958,ENSEMBL:ENSFCAG00000011716,gene,ENSEMBL:ENSFCAG00000011716,4
12959,PomBase:SPCC645.04,gene,nse3,4
12960,ENSEMBL:ENSACAG00000016580,gene,ENSEMBL:ENSACAG00000016580,4
12961,ENSEMBL:ENSGALG00000006512,gene,HSPA8,4
12962,ZP:0008378,phenotype,"cardiac ventricle mislocalised, abnormal",8
12963,ZP:0019993,phenotype,"ventral region whole organism increased distribution, abnormal",8
12964,WBPhenotype:0002193,phenotype,posterior reversed vulval lineage,8
12965,ENSEMBL:ENSACAG00000017497,gene,ENSEMBL:ENSACAG00000017497,4
12966,MONARCH:APO_0000205APO_0000004,phenotype,ionic stress resistance:increased,8
12967,ENSEMBL:ENSSSCG00000007280,gene,ITCH,4
12968,MGI:1931148,gene,Nme4,4
12969,HGNC:20332,gene,UPF3A,4
12970,ENSEMBL:ENSACAG00000002543,gene,ENSEMBL:ENSACAG00000002543,4
12971,ENSEMBL:ENSFCAG00000001566,gene,ENSEMBL:ENSFCAG00000001566,4
12972,dictyBase:DDB_G0281979,gene,DDB0205066,4
12973,ENSEMBL:ENSPTRG00000047694,gene,ENSEMBL:ENSPTRG00000047694,4
12974,WBPhenotype:0001270,phenotype,pathogen induced cell death reduced,8
12975,ZP:0001197,phenotype,"neuron apoptotic, abnormal",8
12976,EnsemblGenome:BAA15927,gene,EnsemblGenome:BAA15927,4
12977,dictyBase:DDB_G0291011,gene,DDB0189210,4
12978,WormBase:WBGene00012084,gene,npr-15,4
12979,RGD:628699,gene,Hmga1,4
12980,ZP:0008117,phenotype,"myofibril myotome disorganized, abnormal",8
12981,Coriell:GM04477,biological artifact,NIGMS-GM04477,0
12982,MP:0008057,phenotype,abnormal DNA replication,8
12983,MONARCH:APO_0000075APO_0000002,phenotype,endocytosis:abnormal,8
12984,ENSEMBL:ENSACAG00000005207,gene,ENSEMBL:ENSACAG00000005207,4
12985,ZFIN:ZDB-GENE-990415-111,gene,hoxc11a,4
12986,ENSEMBL:ENSMMUG00000062063,gene,ENSEMBL:ENSMMUG00000062063,4
12987,MP:0011856,phenotype,abnormal glomerular filtration barrier function,8
12988,MGI:3032524,gene,Fam71f1,4
12989,ZP:0009007,phenotype,"retinal outer nuclear layer increased occurrence cell population proliferation, abnormal",8
12990,ENSEMBL:ENSCAFG00000017986,gene,DYNC1H1,4
12991,HP:3000002,phenotype,Abnormal inner ear epithelium morphology,8
